,$Z_{A'}$,$X_1$,$X_2$,"$X_1, X_2$","$X_1, Z_A$","$X_1, Z_{A'}$","$X_2, Z_A$","$X_2, Z_{A'}$","$X_1, X_2,$
$Z_A$","$X_1, X_2,$
$Z_{A'}$","$X_1, X_2,$
$Z_{A'}, Z_A$",Random
29,0.0022429621920863063,0.005422048951859715,0.007692685967848334,0.002500635464806944,0.04038389252286656,0.005271904157289509,0.02743659085469874,0.0024022697300267737,0.03922265621126764,0.004715975033491304,0.02727742269764999,0.004949178879965821
30,0.0026593586485001985,0.0020185833911887663,0.002536060635639714,0.003482981340257041,0.09427029010181709,0.00218136839682348,0.03603062592232531,0.0017425950236291676,0.04265747782353335,0.0013832633507924186,0.12907670284398431,0.0058039254423079
31,0.002430610275406142,0.0024701592740417055,0.0019221092257240002,0.002678087015663966,0.003037635618127865,0.0033237876405580735,0.03053300834299577,0.002722909820826125,0.016973171033518142,0.004968659112951634,0.012848994237277811,0.00319264029805133
32,0.003717138970012357,0.0025532869377014045,0.003880359133180189,0.002106682962742301,0.014351037861005445,0.0018298697648493345,0.007886432837549862,0.0022431335169597055,0.007643253201319311,0.005716533685440339,0.005966813091565992,0.020190891655820664
33,0.005204785114190091,0.002048580949028711,0.013924236277261137,0.02515378916045341,0.2891138239185116,0.007471516923005961,0.41067289833753495,0.006000187940540691,0.450812567027397,0.00966916650826466,0.36097793309837467,0.005235902799404002
34,0.0042071935011134265,0.003048565982375351,0.002257739771529099,0.003172312642267805,0.07821125686839459,0.012180600639421169,0.07522588547571196,0.0025769473236780804,0.10128679927710937,0.006730873893598055,0.11051421907482561,0.015168292856581722
35,0.004531260966922801,0.002626367454444889,0.00445219302367672,0.0035655059806352085,0.0131928180563885,0.007797134569918818,0.0288512688764877,0.00503061913031333,0.02446546320807652,0.010516700919412258,0.04883076706662948,0.0038218302138792737
36,0.0032560823898175606,0.001568284174776391,0.005511989876035184,0.002009314284695307,0.2446875099131054,0.0026057207940040072,0.14045589630090927,0.008688826083225631,0.21554735668450942,0.002759331245957064,0.27462595520383726,0.003359310906621893
37,0.0031274862996779618,0.0027710002864473893,0.002818088427463117,0.004362606071600439,0.01206686529327694,0.005146460082477766,0.01100213955942353,0.00393802045108016,0.006968646252741628,0.0024574276464712774,0.007430630558681539,0.011747743578162329
38,0.002755699724787508,0.0059795072468653565,0.0024109071673605875,0.00518463612990594,0.04649960590972313,0.004037406664560539,0.09272099381348076,0.004640137204372952,0.06612718443409005,0.003459957419118531,0.06165298004463349,0.0038447674445922786
39,0.00607387122646319,0.007456857329825262,0.0024837506642509943,0.011886085482351927,0.20516761283049867,0.007507177760982309,0.15348967699927885,0.0031505242312204196,0.15392062980856291,0.003409968024162602,0.13601460795696818,0.006978365311071322
40,0.0023998423114397482,0.003292375403298742,0.0019850054064329825,0.004568171692225675,0.013980947747206152,0.0031171940525771547,0.01290714196531706,0.0028724950386131987,0.01603745138120427,0.0037737629798533234,0.010029936318632693,0.00632073083395035
41,0.00208192529925455,0.0020423823787858453,0.002905161899977582,0.0024119763051726473,0.10852737952502256,0.0022315213868435713,0.12171707978512947,0.0015380951339172277,0.11982406143572844,0.001381990859072424,0.12640814299701963,0.006265989687255669
42,0.0022813303813866703,0.003543180948782254,0.002901009996352233,0.006496274378642308,0.26873427900625524,0.001584582428727277,0.3286013101812175,0.002015064710233716,0.30847691793633736,0.0019469288039761778,0.27885929939573373,0.004343958188258945
43,0.0025433073354474978,0.00925819022213803,0.0050578441683644115,0.0034969102146633624,0.3367449409967791,0.004806546184579652,0.4166332802127535,0.0025647420912808805,0.4025519362266392,0.003810700892547203,0.44084941410350886,0.0034915751869659672
44,0.005177846276797293,0.009718553087799453,0.002965015373366242,0.0116126961036489,0.1506123021129464,0.004038232470903402,0.047197546739541796,0.0030479276149897316,0.153972463619358,0.001738686236845144,0.20347871224941905,0.01702389130776716
45,0.001606001703241322,0.005615348937060283,0.003482234942428608,0.0018255724318030353,0.14960518311019122,0.0029693257587757316,0.23417943123771412,0.004482125138158821,0.19184832294935195,0.004084918498854506,0.1797610055668537,0.004582611459198915
46,0.0022487075221797603,0.002979849076012009,0.0017166280154095048,0.002199723721549418,0.062292537983781315,0.001842757899439107,0.3110332850214319,0.002057352159828163,0.13168425162610076,0.0025077334022403086,0.1117964984662434,0.004721725461811488
47,0.002580437043857131,0.001930548287043088,0.0016339522912853788,0.004096209299331743,0.20107871816479106,0.002405398324260677,0.32967095084714604,0.00420159258631525,0.24657405968189083,0.0030206294879890905,0.2170045867008925,0.03015493897609378
48,0.009388744501655832,0.002489541465072076,0.00577522483404147,0.01038168726975286,0.033191384059537477,0.00228245089633905,0.03811815820372555,0.011668278712488434,0.05041733812858373,0.01697476780123086,0.0328516497671143,0.010652941430953966
49,0.0026802512487971164,0.0024508119684409913,0.014478645986638394,0.004558232271413498,0.27047638710635535,0.00396229547064042,0.33447743091889226,0.01387903485114883,0.31009577683923917,0.005085633180104132,0.31139227997493135,0.009685630710166926
50,0.0025964588638678343,0.006083090648583589,0.004611868187577528,0.002270524960188869,0.0718652589419535,0.003951140612325155,0.35811988339078127,0.0019286949099055484,0.3109644487475296,0.0026346224519206984,0.26473195011544437,0.008479426210399765
51,0.0048528391306672525,0.005968297009535828,0.0017201633033634423,0.00309860983821153,0.05069625976428682,0.006337115661555259,0.03766859603614403,0.003826193618696294,0.04637661403669746,0.0033615007674683284,0.04585739915967979,0.006869374821953045
52,0.01276472501042658,0.007562581485223596,0.00995016509710922,0.007867319586131849,0.6452521670100175,0.012536504163352724,0.4766929174871204,0.011878520604857279,0.5648085589119587,0.007273433679326757,0.5712302243446712,0.008220635969560242
53,0.0029835470315635604,0.007939237872524263,0.0026818501095471348,0.0018432147854157144,0.19390166035382972,0.008017975174432923,0.22642776562502176,0.0035153605883335715,0.23329909754906897,0.003123478205707464,0.21320524772503768,0.015328858962157632
54,0.003627244599950341,0.004217854835071311,0.0038860545007661784,0.00369543639556813,0.07260651386654349,0.005692299792932953,0.1581130625517213,0.0030823069354046773,0.1051374342841016,0.0052177390740357765,0.10529151361456446,0.008576621235548032
55,0.002681769414947688,0.007258447487410891,0.0029764302211727767,0.0044811614293776,0.25718232949578734,0.00519498533871543,0.18099704988618814,0.003830084786981658,0.2072038352120611,0.003001030359701229,0.16274285451883186,0.021500095790496943
