,$Z_{A'}$,$X_2$,"$X_1, X_2$","$X_1, Z_{A'}$","$X_2, Z_A$","$X_2, Z_{A'}$","$X_1, X_2,$
$Z_A$","$X_1, X_2,$
$Z_{A'}$","$X_1, X_2,$
$Z_{A'}, Z_A$",Random
52,0.0034276277200206984,0.002284897989697221,1.118550464730597,1.1635957619659236,2.419951396031454,0.005348103108747004,1.731409913392186,1.031495663331563,1.7319096642144167,0.013992914961828085
53,0.0021116870765447437,0.0014059360667380005,0.7296990639520757,0.6502826360273022,1.2060940083140612,0.005539586165310695,0.9169516821300556,0.5715825256780191,0.9735914539200978,0.004345732282209802
54,0.005606652441986437,0.0019852984968480314,0.3187426583246502,0.29988773495303533,0.5535111395382426,0.0016349732943505835,0.49514900381556526,0.35490400628868235,0.5393925434536362,0.011273521996976843
55,0.001197707006987958,0.005696682565523581,0.6582883870460274,0.5309006028466969,1.1553898350822611,0.003614619007596076,1.0795262600631559,0.5771448221834179,0.9429455224485124,0.011754780528319575
56,0.0026349519059616355,0.0030008816997484367,0.10662637888923765,0.08729185895359493,0.15538207784919944,0.0026522505838908472,0.11741818915605684,0.10524983168264512,0.17485251141722902,0.011562966759950832
57,0.01220309016876353,0.002521720306110531,0.6187111780032448,0.5574969351291745,1.0935114146781442,0.0038408438436170478,0.8326510488186041,0.5968981069284864,0.884130926027126,0.005474273592418033
58,0.002053034011399113,0.0015719142874477399,0.6153599589760912,0.5927310988905363,1.1357706053920604,0.0025230855516946704,0.9024286840707711,0.6088387760632821,0.9583405641184601,0.013010641077997764
59,0.005204833444496071,0.0060998618817471595,0.014584124141611365,0.021476642778289978,0.027845538437535122,0.0036219095639720145,0.03424785514090356,0.022041641063023754,0.03213417584331424,0.0026470527646740294
60,0.004151749746919453,0.0020304263667263456,0.8824858912240616,0.8755914219462286,1.6739774948715,0.0038182464992173593,1.356651733731816,0.8509066425745679,1.2730420367206774,0.007849106300565012
61,0.006696809641614454,0.0034892278955815925,0.12403063218511035,0.15925203852845904,0.35540720740204534,0.0020350422450485794,0.22191908602808574,0.15662864625678274,0.227621288761362,0.0077989856765690035
62,0.00459192045358181,0.0019001691471558502,0.3676317005598233,0.34904782020796166,0.5791108058221881,0.001691010969319784,0.5654727158304613,0.3638793339301394,0.4918496179818468,0.007361779179179795
63,0.003883110484239616,0.004510693018904277,0.019708082400999416,0.021246837020291842,0.06754317838982304,0.0067637917832508165,0.039166094159999165,0.01954191576554054,0.03337326244857586,0.0025930228196830996
64,0.014576673601031764,0.004238045751485231,0.0058761031745677705,0.004439473404012961,0.02054943505957274,0.004087210797901086,0.015710702700753032,0.0059000716914967555,0.010490823292808926,0.004991161915713249
65,0.00350379515822441,0.002460942879541239,0.006543841690224372,0.010087847422728835,0.02508112866709533,0.001826455422412998,0.012901334203012205,0.0063502299683855234,0.009846738118415299,0.004942128806691759
66,0.003216201008736874,0.008477583794087362,0.09666386942704497,0.06887651883762835,0.13714174947464874,0.006063995248748899,0.12298329387290563,0.057098417058973894,0.08969138568084478,0.00584527759771003
67,0.0029360402556148912,0.0016024609838454218,1.6309079967601372,1.647795270068535,2.8923824121191117,0.003326583296636265,2.5276705195953957,1.8124234162883455,2.6384224672752015,0.020174653005198273
68,0.0033381442394726513,0.0028900457870095764,0.7823638075229806,0.821490845870366,1.7095352788322193,0.0020764786497324828,1.3142976116743048,0.7007768270098857,1.235354018780527,0.009101400674046634
69,0.006211323512579803,0.0059582035462675265,0.032476029988905086,0.037595943525323694,0.03701711112009454,0.0034319114867034095,0.045109794864719444,0.03265274519153394,0.04952429998898289,0.007502693427158036
70,0.0018817208163497412,0.0015148205712804952,0.18219821974976336,0.18875632027983347,0.43771482800763195,0.0015146298814880943,0.27864481189001467,0.21230094434297797,0.3572582384724998,0.03166161896109454
71,0.001974323334359429,0.004483804361328669,0.21160461363544192,0.24909163395019362,0.347305121827167,0.0011511509113066865,0.3133650335362863,0.25889132090751765,0.23189572586677176,0.01327369439213033
72,0.008905995553972534,0.0011761122376334754,0.013157020106620898,0.011635867699437252,0.1876781507914873,0.003616513979377345,0.14237633709175634,0.014678275700148014,0.13086320836651133,0.003675962445382819
73,0.002798763607969601,0.001353869101718086,1.1849718027138412,0.9840574702007592,1.9739502620577358,0.0035741648870795117,1.6652973562386926,1.1902194940159152,1.6991934778514368,0.0034438143738224625
74,0.02197769997351795,0.0016862548040887937,3.046886887284122,2.834395776098141,5.60469661867231,0.0015825779479490265,4.717032835445705,2.956768920014782,4.779249404546491,0.0036777025828031995
75,0.0017680379662978751,0.00805366576007538,0.005594700546445175,0.00798665365282325,0.04738655415089266,0.007106846870996719,0.004565836495739273,0.011371272458597925,0.020526941988900482,0.008468150124016027
76,0.0027153478650192575,0.0034671442477431924,1.3038154216232654,1.2008690922763012,2.5087239889533466,0.0014586142370913713,1.9614626284615335,1.3061302842431735,1.8593245006694792,0.004666080195997235
77,0.0014603488991067337,0.0017088517433982986,0.7112807660737914,0.8006318387271074,1.3454528665085146,0.0011836322199099136,0.9439847516632325,0.7132707605715143,1.1445649735399632,0.0068209621863077885
78,0.002180269214023145,0.001993983632040841,0.05554575550733354,0.06197075628557425,0.4303796101290138,0.0020958701357360887,0.0783478961898183,0.08581643436333852,0.0809446218907337,0.012242108688194975
79,0.0035215879321581767,0.0025063690468583033,0.5194054221156508,0.43557290701484597,0.9744998344178124,0.0017596107212916046,0.7353606961157029,0.4773014302640832,0.7674219277048868,0.0074246015202446
80,0.0027794207917537506,0.0017276416965152919,0.9770284724817904,0.8176290302616627,1.995423772844541,0.0013250937167512689,1.494907673294834,0.9360632043972736,1.693196042241635,0.005746468039894204
81,0.0034138174397484455,0.005075243573364752,0.027309277314400138,0.03510156104360895,0.05027785690412623,0.007790327858006485,0.025692028397024558,0.023259505086330012,0.031175300578107024,0.008019750148142268
82,0.0017413017094640715,0.0007410443189503901,3.1682674868403633,2.857495475019605,4.697376966832389,0.0029655437512405847,4.104032596976614,3.2430558691435953,4.377949849751624,0.00734365579247509
83,0.004998289186715521,0.002991189160483465,0.06152624930835682,0.06898149749791926,0.08604713925591989,0.0011182857701212967,0.05826089555371983,0.0533442247232383,0.12738666806070853,0.0026592211514397945
