,A,group,Observed Y,distance,model,run_number
227,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.020666121527506576,Random,6
228,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.01381331705470945,Random,7
229,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.01399856428967361,Random,7
230,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.012944089439154816,Random,7
231,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.01974353019201036,Random,7
232,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.015052037418269215,Random,8
233,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.013812612276430158,Random,8
234,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.023809637497405944,Random,8
235,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.011211752291321098,Random,8
236,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.012956767006111924,Random,9
237,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,0.01121982948119804,Random,9
238,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,0.020112956648103086,Random,9
239,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,0.016309165430827832,Random,9
