,A,group,Observed Y,distance,model,run_number
50,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.604243123902182,"$X_1, Z_{A'}$",2
51,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.1741161218900196,"$X_1, Z_{A'}$",2
52,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.358780746627997,"$X_1, Z_{A'}$",3
53,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.100913432626043,"$X_1, Z_{A'}$",3
54,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7105253301249315,"$X_1, Z_{A'}$",3
55,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.2479141190579766,"$X_1, Z_{A'}$",3
56,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.24556042757224,"$X_1, Z_{A'}$",4
57,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.156044341128027,"$X_1, Z_{A'}$",4
58,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6722669377936814,"$X_1, Z_{A'}$",4
59,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.1889579741423364,"$X_1, Z_{A'}$",4
60,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4043260834995364,"$X_1, Z_{A'}$",5
61,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.135755782068523,"$X_1, Z_{A'}$",5
62,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6502451114881667,"$X_1, Z_{A'}$",5
63,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.169802040906868,"$X_1, Z_{A'}$",5
64,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4098812326474155,"$X_1, Z_{A'}$",6
65,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.0809796773054474,"$X_1, Z_{A'}$",6
66,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7131288490387773,"$X_1, Z_{A'}$",6
67,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.246162286586981,"$X_1, Z_{A'}$",6
68,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4764342729937496,"$X_1, Z_{A'}$",7
69,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.1159706644259035,"$X_1, Z_{A'}$",7
70,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6440342366988174,"$X_1, Z_{A'}$",7
71,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.3168667801770413,"$X_1, Z_{A'}$",7
72,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4217673504758936,"$X_1, Z_{A'}$",8
73,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.1468555701935306,"$X_1, Z_{A'}$",8
74,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.5501907401101818,"$X_1, Z_{A'}$",8
75,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.1305968091090444,"$X_1, Z_{A'}$",8
76,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4245199432922897,"$X_1, Z_{A'}$",9
77,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.194033803263964,"$X_1, Z_{A'}$",9
78,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.619939097260931,"$X_1, Z_{A'}$",9
79,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.260704212131903,"$X_1, Z_{A'}$",9
80,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.608934701616387,"$X_2, Z_A$",0
81,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5325632483962615,"$X_2, Z_A$",0
82,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.50579401552753,"$X_2, Z_A$",0
83,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.495166015754571,"$X_2, Z_A$",0
84,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.743738567693501,"$X_2, Z_A$",1
85,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.2109823736244216,"$X_2, Z_A$",1
86,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.5661026097378725,"$X_2, Z_A$",1
87,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.3670103345356486,"$X_2, Z_A$",1
88,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.658216402233836,"$X_2, Z_A$",2
89,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.244540728813849,"$X_2, Z_A$",2
90,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.428901137630608,"$X_2, Z_A$",2
91,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.284538946104476,"$X_2, Z_A$",2
92,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.52642859257462,"$X_2, Z_A$",3
93,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3296021189999827,"$X_2, Z_A$",3
94,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.4692559041809536,"$X_2, Z_A$",3
95,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.4258770740552005,"$X_2, Z_A$",3
96,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4919067818544667,"$X_2, Z_A$",4
97,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3945467371445934,"$X_2, Z_A$",4
98,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.420502267673373,"$X_2, Z_A$",4
99,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.446982993941309,"$X_2, Z_A$",4
100,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.447507515484581,"$X_2, Z_A$",5
101,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3932989127147177,"$X_2, Z_A$",5
102,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.542216247289355,"$X_2, Z_A$",5
103,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.26334355133225,"$X_2, Z_A$",5
104,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6697929410850514,"$X_2, Z_A$",6
105,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4336522026567167,"$X_2, Z_A$",6
106,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.643864363038417,"$X_2, Z_A$",6
107,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.4186094138499215,"$X_2, Z_A$",6
108,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5856579701718445,"$X_2, Z_A$",7
109,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.460229175409104,"$X_2, Z_A$",7
110,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6755930590695383,"$X_2, Z_A$",7
111,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5614696116128908,"$X_2, Z_A$",7
112,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.546110514680694,"$X_2, Z_A$",8
113,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4518845141607333,"$X_2, Z_A$",8
114,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6011508537050014,"$X_2, Z_A$",8
