,$X_2$,"$X_1, Z_{A'}$","$X_2, Z_A$","$X_2, Z_{A'}$","$X_1, X_2,$
$Z_{A'}, Z_A$",Random
105,0.5703885861206395,1.6166414484834073,2.14950793909705,0.5446304637212638,2.1056357927022757,0.008231653605328404
106,0.5315746878232481,0.4005915963708291,0.454983917332759,0.5391785759728123,0.459317591301466,0.006808754569426867
107,0.4916268615399737,0.7469990445936796,0.5952493799299243,0.4955156450877274,0.592342902348209,0.007970577713761529
108,1.0296955279897189,1.0341604596860048,1.3188804937717684,0.9993772405512917,1.2587495755712892,0.006361780986687826
109,0.4854450425840193,2.1003495133124743,2.8536107820099117,0.45060294084609076,2.768786748539924,0.0029241744767709577
110,0.9706155645083365,0.5490811338996062,0.8594044686403031,0.9823047425709879,0.8609811895054129,0.0048221295295931554
111,1.0408943896194733,1.2310332521854783,1.5886572397972136,1.0111681096749128,1.51937159960347,0.003440942308616357
112,0.8868818536288323,0.5469324897866485,0.5798133627752557,0.8719685831114008,0.579465267028044,0.003343981946871466
113,0.4844450763239063,0.3497402013663624,0.3107629723477343,0.47964715012782655,0.3528259616533589,0.0026657161654544126
114,0.6045943873850055,0.3129883449778923,0.2997830888425974,0.5830493468087696,0.3303757589608787,0.0025254367478169115
115,0.4982222760682662,0.21290074220111377,1.9713099467745145,0.49071775967356146,1.8199146713237164,0.008472290535535443
116,1.1076134521792977,2.362116855900358,3.084240881506381,1.084291083214664,2.9788532652156468,0.005583202478657512
117,0.9249845687957063,2.320657040947192,3.038267440337834,0.9161600233654861,2.887726354795607,0.003336656076659672
118,0.5602150852739358,0.6291501903395971,0.7443079172971956,0.5652668000772509,0.7316544345108804,0.0022571659844627945
119,0.5353177105188696,1.3011002509265164,1.6339677411792346,0.5671204584425964,1.5413822289904573,0.0020109762388162977
120,0.5400151462895568,0.5163525308284158,0.6152239950889289,0.5307519361293536,0.618046656994431,0.004092212830754782
121,0.8610546336869382,1.253139576827774,1.6930877148607095,0.8698158540002856,1.524254606182902,0.005732249557324209
122,0.5708996367005472,1.0909046560479565,1.4281121731383806,1.0651427513579081,1.3599127605241463,0.0020709589453229427
123,0.5500013984241381,1.0105778561653587,1.2872251057418755,0.5574343461961742,1.2294028255213214,0.006335364082831418
124,1.0346804078422283,0.6728359861211461,0.6974146541169466,0.9957393979410814,0.7725751999776125,0.004527029025812368
125,1.0134820743998358,1.0490288283545466,1.3218162031639178,0.9924359631553106,1.256592247991534,0.005576726492144246
126,0.5213475930373619,1.5390694195134955,2.2207642222814377,0.5340163753391423,2.1041310854410598,0.007491125521307929
