,A,group,Observed Y,distance,model,run_number
50,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7541244080693525,"$X_1, Z_{A'}$",2
51,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.72355012727943,"$X_1, Z_{A'}$",2
52,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5523659587918193,"$X_1, Z_{A'}$",3
53,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.1872426722209193,"$X_1, Z_{A'}$",3
54,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.701254369941896,"$X_1, Z_{A'}$",3
55,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.7062944545572916,"$X_1, Z_{A'}$",3
56,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6700738724995445,"$X_1, Z_{A'}$",4
57,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.2831685755817994,"$X_1, Z_{A'}$",4
58,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7176283636623393,"$X_1, Z_{A'}$",4
59,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.6237681216155684,"$X_1, Z_{A'}$",4
60,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6099982715683625,"$X_1, Z_{A'}$",5
61,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3297911864631464,"$X_1, Z_{A'}$",5
62,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.68751349849002,"$X_1, Z_{A'}$",5
63,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.570500248958692,"$X_1, Z_{A'}$",5
64,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.5575793981201196,"$X_1, Z_{A'}$",6
65,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.238963643906861,"$X_1, Z_{A'}$",6
66,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.756793311418911,"$X_1, Z_{A'}$",6
67,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.645163229507547,"$X_1, Z_{A'}$",6
68,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4122747921355625,"$X_1, Z_{A'}$",7
69,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3272166309081572,"$X_1, Z_{A'}$",7
70,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.714237405388122,"$X_1, Z_{A'}$",7
71,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.4998283134559816,"$X_1, Z_{A'}$",7
72,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.491209478723082,"$X_1, Z_{A'}$",8
73,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.286971473932339,"$X_1, Z_{A'}$",8
74,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.7338751059224013,"$X_1, Z_{A'}$",8
75,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.4919807671630894,"$X_1, Z_{A'}$",8
76,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.532597923656115,"$X_1, Z_{A'}$",9
77,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3370406179751777,"$X_1, Z_{A'}$",9
78,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.6371743909639376,"$X_1, Z_{A'}$",9
79,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.534078175379715,"$X_1, Z_{A'}$",9
80,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.3970306586959893,"$X_2, Z_A$",0
81,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.310091489970768,"$X_2, Z_A$",0
82,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.77030928590177,"$X_2, Z_A$",0
83,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.424547058782236,"$X_2, Z_A$",0
84,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6101817275022823,"$X_2, Z_A$",1
85,1,"$A=1,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.4547433677823056,"$X_2, Z_A$",1
86,0,"$A=0,\hat{Y} > 0$",$\hat{Y} > 0$,2.789584220636439,"$X_2, Z_A$",1
87,1,"$A=1,\hat{Y} > 0$",$\hat{Y} > 0$,2.5225507055434226,"$X_2, Z_A$",1
88,0,"$A=0,\hat{Y} \leq 0$",$\hat{Y} \leq 0$,2.6333785585137566,"$X_2, Z_A$",2
